listing_id,city,neighbourhood,property_type,total_sqft,no_of_rooms,furnish,sale_type,status,price,price (in 'k'),price_per_sqft
74120029,Chennai,Mannadi,Plot/Land,1644,n/a,n/a,n/a,n/a,₹ 4 Cr,40000,24331
74322865,Chennai,Road,Apartment,690,2 BHK,Semi-Furnished,Resale,Ready to Move,₹ 39 Lac,3900,5652
72043391,Chennai,Avadi,Apartment,876,2 BHK,Unfurnished,Resale,Ready to Move,₹ 49 Lac,4900,5594
66341995,Chennai,Neelankarai,Villa,7000,5 BHK,Furnished,Resale,Ready to Move,₹ 18 Cr,180000,25714
71107819,Chennai,Rajakilpakkam,Apartment,1035,2 BHK,Semi-Furnished,Resale,Ready to Move,₹ 54 Lac,5400,5217
73271063,Chennai,Chennai,Plot/Land,1800,n/a,n/a,n/a,n/a,₹ 99 Lac,9900,5500
72395493,Chennai,Thaiyur,Plot/Land,615,n/a,n/a,n/a,n/a,₹ 15.4 Lac,1540,2504
71557767,Chennai,Nagar,Plot/Land,1890,n/a,n/a,n/a,n/a,₹ 53 Lac,5300,2804
73662579,Chennai,Pozhichalur,Plot/Land,1200,n/a,n/a,n/a,n/a,₹ 18 Lac,1800,1500
70913459,Chennai,Thirumudivakkam,Plot/Land,1443,n/a,n/a,n/a,n/a,₹ 70 Lac,7000,4851
73014651,Chennai,Urapakkam,House,1100,2 BHK,Unfurnished,Resale,Ready to Move,₹ 1.76 Cr,17600,16036
74310881,Chennai,Padappai,Plot/Land,800,n/a,n/a,n/a,n/a,₹ 12 Lac,1200,1500
66855959,Chennai,Ambattur,Apartment,1626,3 BHK,Unfurnished,Resale,Ready to Move,₹ 1.07 Cr,10700,6581
73829103,Chennai,Perungudi,Apartment,1723,3 BHK,Unfurnished,Resale,Ready to Move,₹ 1.80 Cr,18000,10447
73473677,Chennai,Sholinganallur,Plot/Land,1750,n/a,n/a,n/a,n/a,₹ 1.26 Cr,12600,7200
73982389,Chennai,Mogappair,Apartment,1412,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.30 Cr,13000,9207
73286249,Chennai,Siruseri,Plot/Land,1230,n/a,n/a,n/a,n/a,₹ 58 Lac,5800,4715
72633517,Chennai,Kelambakkam,Plot/Land,1125,n/a,n/a,n/a,n/a,₹ 42.8 Lac,4280,3800
69249737,Chennai,Egmore,Apartment,1880,3 BHK,Semi-Furnished,Resale,Ready to Move,₹ 1.50 Cr,15000,7895
74200073,Chennai,Ponmar,Plot/Land,1049,n/a,n/a,n/a,n/a,₹ 34.6 Lac,3460,3299
26851433,Chennai,Oragadam,Plot/Land,600,n/a,n/a,n/a,n/a,₹ 8 Lac,800,1333
72013777,Chennai,Nagar,Apartment,1318,3 BHK,Furnished,Resale,Ready to Move,₹ 2.40 Cr,24000,18209
70928263,Chennai,Manimangalam,Plot/Land,1200,n/a,n/a,n/a,n/a,₹ 12 Lac,1200,1000
37782611,Chennai,Veppampattu,Plot/Land,2042,n/a,n/a,n/a,n/a,₹ 46.5 Lac,4650,2277
72276177,Chennai,Athivakkam,Plot/Land,1597,n/a,n/a,n/a,n/a,₹ 39.9 Lac,3990,2500
73810889,Chennai,Road,Plot/Land,2700,n/a,n/a,n/a,n/a,₹ 3 Cr,30000,11111
73155947,Chennai,Ponneri,Plot/Land,800,n/a,n/a,n/a,n/a,₹ 6 Lac,600,750
73782817,Chennai,Anakaputhur,Plot/Land,3000,n/a,n/a,n/a,n/a,₹ 1.50 Cr,15000,5000
73681789,Chennai,Thazhambur,Apartment,1026,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 60 Lac,6000,5848
69908117,Chennai,Puzhal,Plot/Land,8749,n/a,n/a,n/a,n/a,₹ 3.15 Cr,31500,3600
71925909,Chennai,Padapai,Plot/Land,6606,n/a,n/a,n/a,n/a,₹ 1 Cr,10000,1514
73485461,Chennai,Kolathur,Plot/Land,2145,n/a,n/a,n/a,n/a,₹ 1.50 Cr,15000,6993
73111063,Chennai,Kundrathur,Plot/Land,920,n/a,n/a,n/a,n/a,₹ 33.1 Lac,3310,3600
73304945,Chennai,Sikkarayapuram,Plot/Land,1815,n/a,n/a,n/a,n/a,₹ 82 Lac,8200,4518
72431281,Chennai,Nagar,Plot/Land,10800,n/a,n/a,n/a,n/a,₹ 1.08 Cr,10800,1000
72587931,Chennai,Meenambakkam,Apartment,1350,3 BHK,Unfurnished,Resale,Ready to Move,₹ 70 Lac,7000,5185
73964295,Chennai,Palavakkam,Villa,2700,5 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.75 Cr,27500,9167
72381067,Chennai,Valasaravakkam,Apartment,950,2 BHK,Furnished,Resale,Ready to Move,₹ 85 Lac,8500,0
60019811,Chennai,Kotturpuram,Plot/Land,3600,n/a,n/a,n/a,n/a,₹ 7.56 Cr,75600,21000
70039347,Chennai,Morai,Plot/Land,2130,n/a,n/a,n/a,n/a,₹ 25 Lac,2500,1174
71222551,Chennai,Mangadu,Apartment,965,2 BHK,Unfurnished,New Property,Ready to Move,₹ 42.7 Lac,4270,4005
74309149,Chennai,Pakkam,Apartment,804,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 53.9 Lac,5390,6700
68779423,Chennai,Ponmar,Plot/Land,1800,n/a,n/a,n/a,n/a,₹ 50.4 Lac,5040,2800
74155521,Chennai,II,Apartment,600,2 BHK,Furnished,Resale,Ready to Move,₹ 50 Lac,5000,6196
73461355,Chennai,Chepauk,Apartment,680,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.25 Cr,12500,13797
74174265,Chennai,Kelambakkam,Plot/Land,726,n/a,n/a,n/a,n/a,₹ 24 Lac,2400,3306
73407485,Chennai,Vandalur,Plot/Land,1424,n/a,n/a,n/a,n/a,₹ 41 Lac,4100,2879
71060821,Chennai,Madipakkam,Plot/Land,2400,n/a,n/a,n/a,n/a,₹ 1.25 Cr,12500,5208
71727209,Chennai,Oragadam,Plot/Land,1875,n/a,n/a,n/a,n/a,₹ 28.1 Lac,2810,1499
71801905,Chennai,Padapai,Plot/Land,1370,n/a,n/a,n/a,n/a,₹ 35 Lac,3500,2555
71650287,Chennai,Kuppam,Plot/Land,1100,n/a,n/a,n/a,n/a,₹ 60.5 Lac,6050,5500
73006355,Chennai,Medavakkam,Apartment,759,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 55.9 Lac,5590,6523
72842279,Chennai,Oragadam,Apartment,1150,3 BHK,Semi-Furnished,Resale,Ready to Move,₹ 40 Lac,4000,3478
73813727,Chennai,Guduvancherry,Plot/Land,600,n/a,n/a,n/a,n/a,₹ 18 Lac,1800,3000
71751837,Chennai,Madambakkam,House,3000,4 BHK,Semi-Furnished,Resale,Ready to Move,₹ 2.60 Cr,26000,8667
62459003,Chennai,Chennai,Plot/Land,1500,n/a,n/a,n/a,n/a,₹ 30 Lac,3000,2000
